edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
input:w0->padded_benes_8x8_s0_w0_1.in,input:w0->padded_benes_8x8_s0_w0_1.in,input,I0,0,False,padded_benes_8x8_s0_w0_1.in,0,False,,0
input:w1->padded_benes_8x8_s0_w0_1.add,input:w1->padded_benes_8x8_s0_w0_1.add,input,I1,1,False,padded_benes_8x8_s0_w0_1.add,1,False,,0
input:w2->padded_benes_8x8_s0_w2_3.in,input:w2->padded_benes_8x8_s0_w2_3.in,input,I2,2,False,padded_benes_8x8_s0_w2_3.in,2,False,,0
input:w3->padded_benes_8x8_s0_w2_3.add,input:w3->padded_benes_8x8_s0_w2_3.add,input,I3,3,False,padded_benes_8x8_s0_w2_3.add,3,False,,0
input:w4->padded_benes_8x8_s0_w4_5.in,input:w4->padded_benes_8x8_s0_w4_5.in,input,I4,4,False,padded_benes_8x8_s0_w4_5.in,4,False,,0
input:w5->padded_benes_8x8_s0_w4_5.add,input:w5->padded_benes_8x8_s0_w4_5.add,input,I5,5,False,padded_benes_8x8_s0_w4_5.add,5,False,,0
input:w6->padded_benes_8x8_s0_w6_7.in,input:w6->padded_benes_8x8_s0_w6_7.in,input,I6,6,True,padded_benes_8x8_s0_w6_7.in,6,False,,0
input:w7->padded_benes_8x8_s0_w6_7.add,input:w7->padded_benes_8x8_s0_w6_7.add,input,I7,7,True,padded_benes_8x8_s0_w6_7.add,7,False,,0
stage:0:w0:padded_benes_8x8_s0_w0_1.th->padded_benes_8x8_s1_w0_2.in:w0,input:w0->padded_benes_8x8_s0_w0_1.in,interstage,padded_benes_8x8_s0_w0_1.th,0,False,padded_benes_8x8_s1_w0_2.in,0,False,0,1
stage:0:w1:padded_benes_8x8_s0_w0_1.drop->padded_benes_8x8_s1_w1_3.in:w1,input:w1->padded_benes_8x8_s0_w0_1.add,interstage,padded_benes_8x8_s0_w0_1.drop,1,False,padded_benes_8x8_s1_w1_3.in,1,False,0,1
stage:0:w2:padded_benes_8x8_s0_w2_3.th->padded_benes_8x8_s1_w0_2.add:w2,input:w2->padded_benes_8x8_s0_w2_3.in,interstage,padded_benes_8x8_s0_w2_3.th,2,False,padded_benes_8x8_s1_w0_2.add,2,False,0,1
stage:0:w3:padded_benes_8x8_s0_w2_3.drop->padded_benes_8x8_s1_w1_3.add:w3,input:w3->padded_benes_8x8_s0_w2_3.add,interstage,padded_benes_8x8_s0_w2_3.drop,3,False,padded_benes_8x8_s1_w1_3.add,3,False,0,1
